Name                                                                        Category      Checkpoint
----------------------------------------------------------------------------------------------------
MelBand Roformer Big Beta 1 (pcunwa)                                        vocals        melband_roformer_big_beta1.ckpt
MelBand Roformer Big Beta 2 (pcunwa)                                        vocals        melband_roformer_big_beta2.ckpt
MelBand Roformer Big Beta 3 (pcunwa)                                        vocals        melband_roformer_big_beta3.ckpt
MelBand Roformer Big Beta 4 (pcunwa)                                        vocals        melband_roformer_big_beta4.ckpt
MelBand Roformer Big Beta 5e (by unwa)                                      vocals        big_beta5e.ckpt
MelBand Roformer Big Beta 5e (pcunwa)                                       vocals        big_beta5e.ckpt
MelBand Roformer Big Beta 6 (by unwa)                                       vocals        big_beta6.ckpt
MelBand Roformer Big Beta 6 (pcunwa)                                        vocals        big_beta6.ckpt
MelBand Roformer Big Beta 6x (pcunwa)                                       vocals        big_beta6x.ckpt
MelBand Roformer Big Beta 7 (by unwa)                                       vocals        big_beta7.ckpt
MelBand Roformer Denoise Debleed (Gabox)                                    denoise       denoisedebleed.ckpt
MelBand Roformer Fullness Vocal Model                                       vocals        FullnessVocalModel.ckpt
MelBand Roformer INSTV6 (Gabox)                                             instrumental  INSTV6.ckpt
MelBand Roformer INSTV6N (Gabox)                                            instrumental  INSTV6N.ckpt
MelBand Roformer INSTV7N (Gabox)                                            instrumental  INSTV7N.ckpt
MelBand Roformer Inst FV8 (Gabox)                                           instrumental  inst_gaboxFv8.ckpt
MelBand Roformer Inst FV8B (Gabox)                                          instrumental  inst_gaboxFv8B.ckpt
MelBand Roformer Inst Gabox FVX                                             instrumental  Inst_GaboxFVX.ckpt
MelBand Roformer Inst Gabox V7                                              instrumental  Inst_GaboxV7.ckpt
MelBand Roformer Instrumental Gabox Bv2                                     instrumental  inst_gaboxBv2.ckpt
MelBand Roformer Instrumental Gabox Bv3                                     instrumental  inst_gaboxBv3.ckpt
MelBand Roformer Instrumental Gabox Fv3                                     instrumental  inst_gaboxFv3.ckpt
MelBand Roformer Instrumental Gabox V3                                      instrumental  inst_gabox3.ckpt
MelBand Roformer Instrumental V1 (pcunwa)                                   instrumental  melband_roformer_inst_v1.ckpt
MelBand Roformer Instrumental V1 Plus Test (pcunwa)                         instrumental  inst_v1_plus_test.ckpt
MelBand Roformer Instrumental V1e (pcunwa)                                  instrumental  inst_v1e.ckpt
MelBand Roformer Instrumental V1e Plus (pcunwa)                             instrumental  inst_v1e_plus.ckpt
MelBand Roformer Karaoke (Gabox experimental)                               karaoke       KaraokeGabox.ckpt
